#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
127,Jordan,831,,9 ,,627,,195,5,81,0.9,"228,778","22,436"
128,Georgia,818,+6,13 ,,686,+3,119,6,205,3,"67,725","16,975"
129,French Guiana,729,,2 ,,400,,327,5,"2,445",7,277,929
130,Diamond Princess,712,,13 ,,651,,48,4,,,,
131,San Marino,687,,42 ,,478,,167,1,"20,249","1,238","4,749","139,977"
132,Congo,683,,22 ,,210,,451,,124,4,,
133,Uganda,646,, ,,103,,543,,14,,"104,160","2,283"
134,Malta,630,,9 ,,596,,25,,"1,427",20,"75,881","171,881"
135,Jamaica,599,+1,10 ,,405,,184,2,202,3,"14,802","5,000"
136,Cabo Verde,567,,5 ,,266,,296,,"1,021",9,"1,307","2,352"
137,Channel Islands,564,,46 ,,512,,6,,"3,246",265,"10,255","59,017"
138,Sao Tome and Principe,513,,12 ,,68,,433,,"2,344",55,175,799
139,Tanzania,509,,21 ,,183,,305,7,9,0.4,,
140,Togo,497,,13 ,,251,,233,,60,2,"23,255","2,814"
141,Yemen,496,,112 ,,23,,361,,17,4,120,4
142,Réunion,481,,1 ,,447,,33,4,537,1,"17,200","19,220"
143,Palestine,473,,3 ,,404,,66,,93,0.6,"44,876","8,811"
144,Rwanda,451,,2 ,,297,,152,,35,0.2,"78,259","6,053"
145,Taiwan,443,,7 ,,430,,6,,19,0.3,"73,601","3,091"
146,Malawi,443,,4 ,,55,,384,4,23,0.2,"6,542",343
147,Mozambique,433,,2 ,,131,,300,,14,0.06,"14,580",467
148,Liberia,370,,30 ,,195,,145,,73,6,,
149,Eswatini,340,,3 ,,229,,108,5,293,3,"6,551","5,650"
150,Mauritius,337,,10 ,,324,,3,,265,8,"133,883","105,283"
151,Isle of Man,336,,24 ,,312,,0,,"3,953",282,"5,282","62,137"
152,Libya,332,,5 ,,57,,270,,48,0.7,"10,525","1,533"
153,Vietnam,332,, ,,316,,16,1,3,,"275,000","2,827"
154,Montenegro,324,,9 ,,315,,0,,516,14,"13,186","20,995"
155,Benin,288,,4 ,,186,,98,1,24,0.3,"45,100","3,727"
156,Zimbabwe,287,,4 ,,46,,237,,19,0.3,"52,905","3,563"
157,Myanmar,244,,6 ,,159,,79,,4,0.1,"39,211",721
158,Martinique,202,,14 ,,98,,90,,538,37,,
159,Mongolia,194,, ,,85,+10,109,15,59,,"16,365","4,997"
160,Faeroe Islands,187,, ,,187,,0,,"3,828",,"10,298","210,800"
161,Gibraltar,176,, ,,165,,11,,"5,224",,"9,033","268,105"
162,Cayman Islands,171,,1 ,,102,,68,,"2,604",15,"14,733","224,339"
163,Guadeloupe,164,,14 ,,144,,6,1,410,35,"4,975","12,434"
164,Guyana,154,,12 ,,84,,58,2,196,15,"1,816","2,309"
165,Syria,144,,6 ,,62,,76,,8,0.3,,
166,Bermuda,141,,9 ,,120,,12,2,"2,264",144,"8,169","131,143"
167,Brunei ,141,,2 ,,138,,1,1,322,5,"22,092","50,528"
168,Comoros,141,,2 ,,67,,72,,162,2,,
169,Suriname,130,+2,2 ,,9,,119,1,222,3,"1,165","1,987"
170,Cambodia,126,, ,,123,,3,1,8,,"23,879","1,430"
171,Trinidad and Tobago,117,,8 ,,109,,0,,84,6,"3,421","2,445"
172,Bahamas,103,,11 ,,64,,28,1,262,28,"2,225","5,661"
173,Aruba,101,,3 ,,98,,0,,946,28,"2,179","20,414"
174,Monaco,99,,4 ,,93,,2,1,"2,524",102,"16,200","413,002"
175,Barbados,92,,7 ,,81,,4,1,320,24,"5,925","20,619"
176,Angola,92,,4 ,,38,,50,1,3,0.1,"10,000",305
177,Burundi,83,,1 ,,45,,37,,7,0.08,382,32
178,Liechtenstein,82,,1 ,,55,,26,,"2,151",26,900,"23,608"
179,Sint Maarten,77,,15 ,,61,,1,1,"1,797",350,470,"10,970"
180,French Polynesia,60,, ,,60,,0,,214,,"4,262","15,178"
181,Bhutan,59,, ,,17,+3,42,,77,,"19,782","25,655"
182,Macao,45,, ,,45,,0,,69,,,
183,Botswana,42,,1 ,,24,,17,1,18,0.4,"26,238","11,173"
184,Saint Martin,41,,3 ,,33,,5,1,"1,062",78,614,"15,898"
185,Eritrea,39,, ,,39,,0,,11,,,
186,Namibia,31,, ,,16,,15,1,12,,"4,943","1,948"
187,Gambia,28,,1 ,,21,,6,,12,0.4,"1,907",791
188,St. Vincent Grenadines,27,, ,,16,,11,,243,,638,"5,752"
189,Antigua and Barbuda,26,,3 ,,20,,3,1,266,31,246,"2,513"
190,Timor-Leste,24,, ,,24,,0,,18,,"1,568","1,191"
191,Grenada,23,, ,,22,,1,1,204,,"4,130","36,714"
192,Curaçao,21,,1 ,,15,,5,,128,6,985,"6,004"
193,New Caledonia,20,, ,,20,,0,,70,,"7,257","25,434"
194,Belize,19,,2 ,,16,,1,,48,5,"1,741","4,384"
195,Laos,19,, ,,18,,1,,3,,"8,607","1,184"
196,Saint Lucia,19,, ,,18,,1,,103,,"1,204","6,559"
197,Dominica,18,, ,,16,,2,,250,,534,"7,419"
198,Fiji,18,, ,,18,,0,,20,,"2,431","2,713"
199,Saint Kitts and Nevis,15,, ,,15,,0,,282,,408,"7,673"
200,Falkland Islands,13,, ,,13,,0,,"3,743",,535,"154,045"
201,Greenland,13,, ,,13,,0,,229,,"2,371","41,769"
202,Turks and Caicos,12,,1 ,,11,,0,,310,26,192,"4,963"
203,Vatican City,12,, ,,12,,0,,"14,981",,,
204,Montserrat,11,,1 ,,10,,0,,"2,204",200,61,"12,220"
205,Seychelles,11,, ,,11,,0,,112,,,
206,MS Zaandam,9,,2 ,,,,7,,,,,
207,Western Sahara,9,,1 ,,6,,2,,15,2,,
208,British Virgin Islands,8,,1 ,,7,,0,,265,33,167,"5,526"
209,Papua New Guinea,8,, ,,8,,0,,0.9,,"4,646",520
210,Caribbean Netherlands,7,, ,,7,,0,,267,,424,"16,178"
211,St. Barth,6,, ,,6,,0,,608,,152,"15,392"
212,Lesotho,4,, ,,2,,2,,2,,"1,515",708
213,Anguilla,3,, ,,3,,0,,200,,41,"2,734"
214,Saint Pierre Miquelon,1,, ,,1,,0,,173,,,
215,China,"83,043",+3,"4,634 ",,"78,351",+10,58,1,58,3,,
