#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
,North America,"2,282,663","+4,183","135,758",+221,"930,353","+3,056","1,216,552","19,428",,,,
,South America,"1,146,755",+285,"51,046",+824,"531,548",+184,"564,161","11,783",,,,
,Europe,"2,094,794",+486,"178,956",+13,"1,082,922",+794,"832,916","7,181",,,,
,Asia,"1,368,045","+6,816","35,117",+92,"823,887","+1,591","509,041","14,880",,,,
,Africa,"192,118",,"5,215",,"84,919",,"101,984",469,,,,
,Oceania,"8,875",+5,124,,"8,293",+4,458,3,,,,
,World,"7,093,971","+11,775","406,231","+1,150","3,462,573","+5,629","3,225,167","53,748",910,52.1,,
1,USA,"2,007,449",,"112,469 ",,"761,708",,"1,133,272","16,923","6,067",340,"21,291,677","64,349"
2,Brazil,"691,962",,"37,312 ",+813,"302,084",,"352,566","8,318","3,257",176,"999,836","4,706"
3,Russia,"467,673",,"5,859 ",,"226,731",,"235,083","2,300","3,205",40,"12,721,549","87,175"
4,Spain,"288,630",,"27,136 ",,N/A,N/A,N/A,617,"6,173",580,"4,063,843","86,920"
5,UK,"286,194",,"40,542 ",,N/A,N/A,N/A,604,"4,217",597,"5,581,073","82,239"
6,India,"258,090",+604,"7,207 ",,"124,095",+247,"126,788","8,944",187,5,"4,774,434","3,462"
7,Italy,"234,998",,"33,899 ",,"165,837",,"35,262",287,"3,886",561,"4,236,535","70,063"
8,Peru,"196,515",,"5,465 ",,"86,219",,"104,831","1,062","5,966",166,"1,191,956","36,185"
9,Germany,"185,869",,"8,776 ",,"169,600",+500,"7,493",568,"2,219",105,"4,348,880","51,916"
10,Iran,"171,789",,"8,281 ",,"134,349",,"29,159","2,596","2,047",99,"1,084,857","12,927"
11,Turkey,"170,132",,"4,692 ",,"137,969",,"27,471",613,"2,019",56,"2,338,593","27,748"
12,France,"153,977",,"29,155 ",,"70,842",,"53,980","1,053","2,359",447,"1,384,633","21,216"
13,Chile,"134,150",,"2,190 ",,"95,631",,"36,329","1,558","7,021",115,"708,773","37,098"
14,Mexico,"117,103","+3,484","13,699 ",+188,"84,419","+2,875","18,985",378,909,106,"336,395","2,611"
15,Pakistan,"103,671","+4,728","2,067 ",+65,"34,355",+890,"67,249",111,470,9,"705,833","3,200"
16,Saudi Arabia,"101,914",,712 ,,"72,817",,"28,385","1,564","2,931",20,"958,237","27,554"
17,Canada,"95,699",,"7,800 ",,"54,233",,"33,666","1,816","2,537",207,"1,896,822","50,286"
18,Qatar,"68,790",,54 ,,"44,338",,"24,398",245,"24,500",19,"255,533","91,008"
19,Bangladesh,"65,769",,888 ,,"13,903",,"50,978",1,400,5,"397,987","2,418"
20,Belgium,"59,226",,"9,595 ",,"16,291",,"33,340",111,"5,112",828,"935,670","80,755"
