#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
,North America,"2,258,034","+4,167","135,128",+357,"916,668","+3,299","1,206,238","19,445",,,,
,South America,"1,117,287","+3,537","48,871",+114,"526,023",+163,"542,393","11,778",,,,
,Europe,"2,079,219",+487,"178,594",+11,"1,074,053",+456,"826,572","7,190",,,,
,Asia,"1,334,153","+7,724","34,476",+109,"805,090","+1,949","494,587","14,729",,,,
,Africa,"186,319",+323,"5,086",+4,"83,432",,"97,801",463,,,,
,Oceania,"8,869",+4,124,,"8,288",+13,457,3,,,,
,World,"6,984,602","+16,242","402,294",+595,"3,414,205","+5,880","3,168,103","53,612",896,51.6,,
1,USA,"1,988,545",+1,"112,096 ",,"751,897",+202,"1,124,552","17,021","6,010",339,"20,818,428","62,919"
2,Brazil,"676,494","+2,907","36,044 ",+87,"302,084",,"338,366","8,318","3,184",170,"999,836","4,706"
3,Russia,"458,689",,"5,725 ",,"221,388",,"231,576","2,300","3,143",39,"12,388,968","84,896"
4,Spain,"288,390",,"27,135 ",,N/A,N/A,N/A,617,"6,168",580,"4,063,843","86,920"
5,UK,"284,868",,"40,465 ",,N/A,N/A,N/A,604,"4,198",596,"5,438,712","80,143"
6,India,"247,040",+418,"6,946 ",,"119,293",+598,"120,801","8,944",179,5,"4,666,386","3,384"
7,Italy,"234,801",,"33,846 ",,"165,078",,"35,877",293,"3,883",560,"4,187,057","69,245"
8,Peru,"191,758",,"5,301 ",,"82,731",,"103,726","1,062","5,821",161,"1,173,003","35,611"
9,Germany,"185,696",,"8,769 ",,"168,900",,"8,027",576,"2,217",105,"4,348,880","51,917"
10,Iran,"169,425",,"8,209 ",,"132,038",,"29,178","2,578","2,019",98,"1,040,289","12,396"
11,Turkey,"169,218",,"4,669 ",,"135,322",,"29,227",591,"2,008",55,"2,303,258","27,330"
12,France,"153,634",,"29,142 ",,"70,806",,"53,686","1,059","2,354",447,"1,384,633","21,216"
13,Chile,"127,745",,"1,541 ",,"95,631",,"30,573","1,524","6,686",81,"687,510","35,985"
14,Mexico,"113,619","+3,593","13,511 ",+341,"81,544","+2,954","18,564",378,882,105,"332,326","2,579"
15,Pakistan,"98,943","+4,960","2,002 ",+67,"33,465",+884,"63,476",111,449,9,"683,608","3,099"
16,Saudi Arabia,"98,869",,676 ,,"71,791",,"26,402","1,484","2,843",19,"933,201","26,835"
17,Canada,"95,057",,"7,773 ",,"53,614",,"33,670","1,738","2,520",206,"1,868,277","49,530"
18,Qatar,"67,195",,51 ,,"42,527",,"24,617",238,"23,932",18,"251,391","89,533"
19,Bangladesh,"63,026",,846 ,,"13,325",,"48,855",1,383,5,"384,851","2,338"
20,Belgium,"59,072",,"9,580 ",,"16,190",,"33,302",121,"5,098",827,"923,820","79,733"
21,Belarus,"47,751",,263 ,,"23,015",,"24,473",92,"5,053",28,"609,671","64,519"
22,Netherlands,"47,335",,"6,011 ",,N/A,N/A,N/A,97,"2,763",351,"388,113","22,654"
23,South Africa,"45,973",,952 ,,"24,258",,"20,763",208,776,16,"891,668","15,047"
24,Sweden,"43,887",,"4,656 ",,N/A,N/A,N/A,198,"4,347",461,"275,500","27,290"
25,Ecuador,"42,728",,"3,608 ",,"21,020",,"18,100",252,"2,424",205,"126,683","7,188"
26,UAE,"38,268",,275 ,,"21,061",,"16,932",1,"3,872",28,"2,500,000","252,981"
27,Colombia,"38,027",,"1,205 ",,"14,382",,"22,440",335,748,24,"399,505","7,857"
28,Singapore,"37,910",+383,25 ,,"24,559",,"13,326",4,"6,483",4,"408,495","69,861"
