#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
47,Bahrain,"13,835",,23,1,"8,585",,"5,227",11,"8,155",14,"354,122","208,725"
48,Bolivia,"12,728",483,427,12,"1,739",81,"10,562",3,"1,091",37,"28,239","2,422"
49,Kazakhstan,"12,511",199,52,,"6,903",,"5,556",62,667,3,"915,904","48,821"
50,Armenia,"12,364",547,190,7,"3,720",207,"8,454",10,"4,173",64,"66,674","22,503"
51,Denmark,"11,875",,586,,"10,653",,636,17,"2,051",101,"684,557","118,214"
52,Nigeria,"11,844",,333,,"3,696",,"7,815",7,58,2,"73,064",355
53,S. Korea,"11,719",51,273,,"10,531",25,915,15,229,5,"1,005,305","19,609"
54,Serbia,"11,667",,247,,"6,931",,"4,489",12,"1,335",28,"266,061","30,443"
55,Algeria,"9,935",,690,,"6,453",,"2,792",22,227,16,,
56,Iraq,"9,846",,285,,"4,573",,"4,988",63,245,7,"281,901","7,021"
57,Czechia,"9,529",,327,,"6,881",,"2,321",12,890,31,"464,499","43,380"
58,Moldova,"9,247",,323,,"5,240",,"3,684",274,"2,292",80,"58,521","14,505"
59,Ghana,"9,168",,42,,"3,457",,"5,669",3,296,1,"226,741","7,309"
60,Norway,"8,522",,238,,"8,138",,146,5,"1,573",44,"257,303","47,488"
61,Malaysia,"8,266",,116,,"6,610",,"1,540",6,256,4,"560,738","17,341"
62,Morocco,"8,071",,208,,"7,268",,595,15,219,6,"275,349","7,466"
63,Cameroon,"7,392",,205,,"4,575",,"2,612",28,279,8,,
64,Australia,"7,255",4,102,,"6,690",7,463,2,285,4,"1,603,027","62,916"
65,Finland,"6,941",,322,,"5,800",,819,8,"1,253",58,"198,647","35,856"
66,Azerbaijan,"6,860",,82,,"3,871",,"2,907",66,677,8,"328,385","32,408"
67,Guatemala,"6,485",331,216,58,"1,053",74,"5,216",5,362,12,"31,427","1,757"
68,Honduras,"5,971",91,248,5,677,29,"5,046",13,604,25,"14,790","1,495"
69,Sudan,"5,865",,347,,"1,924",,"3,594",,134,8,401,9
70,Tajikistan,"4,370",,48,,"2,491",,"1,831",,459,5,,
71,Senegal,"4,155",,45,,"2,276",,"1,834",15,249,3,"49,180","2,943"
72,Djibouti,"4,123",,26,,"1,707",,"2,390",,"4,178",26,"34,551","35,008"
73,Guinea,"4,060",,23,,"2,667",,"1,370",24,310,2,"14,407","1,099"
74,Luxembourg,"4,032",,110,,"3,885",,37,3,"6,449",176,"83,673","133,829"
75,Uzbekistan,"4,022",15,16,,"3,247",,759,13,120,0.5,"748,555","22,389"
76,Hungary,"3,990",20,545,3,"2,279",34,"1,166",21,413,56,"206,853","21,409"
77,DRC,"3,764",,81,,512,,"3,171",,42,0.9,,
78,Ivory Coast,"3,431",,36,,"1,604",,"1,791",,130,1,"29,856","1,134"
79,Thailand,"3,104",2,58,,"2,971",,75,1,44,0.8,"420,529","6,026"
80,Gabon,"3,101",,21,,833,,"2,247",13,"1,396",9,"16,730","7,530"
81,Greece,"2,967",,180,,"1,374",,"1,413",9,285,17,"193,929","18,600"
82,Haiti,"2,924",184,50,,24,,"2,850",,257,4,"6,626",582
83,Nepal,"2,912",,11,,333,,"2,568",,100,0.4,"221,332","7,607"
84,El Salvador,"2,849",,53,,"1,249",,"1,547",58,439,8,"101,604","15,670"
85,North Macedonia,"2,790",,149,,"1,632",,"1,009",34,"1,339",72,"33,114","15,894"
86,Bulgaria,"2,668",41,160,1,"1,528",138,980,12,384,23,"89,086","12,815"
87,Bosnia and Herzegovina,"2,606",,159,,"1,968",,479,4,794,48,"69,654","21,222"
88,Kenya,"2,474",,79,,643,,"1,752",7,46,1,"90,875","1,693"
89,Croatia,"2,247",,103,,"2,113",,31,3,547,25,"68,267","16,623"
90,Somalia,"2,204",,79,,418,,"1,707",2,139,5,,
91,Venezuela,"2,145",,20,,334,,"1,791",,75,0.7,"1,009,524","35,495"
92,Cuba,"2,133",,83,,"1,848",,202,3,188,7,"114,464","10,105"
93,Mayotte,"2,079",,25,,"1,523",,531,12,"7,635",92,"8,150","29,930"
94,Kyrgyzstan,"1,974",38,22,,"1,360",20,592,5,303,3,"127,051","19,498"
95,Estonia,"1,910",,69,,"1,667",,174,,"1,440",52,"88,000","66,341"
96,Maldives,"1,883",,7,,717,,"1,159",9,"3,488",13,"28,440","52,683"
97,Iceland,"1,806",,10,,"1,794",,2,,"5,295",29,"62,230","182,444"
98,Ethiopia,"1,805",,19,,262,,"1,524",18,16,0.2,"131,368","1,145"
99,Sri Lanka,"1,801",,11,,858,,932,1,84,0.5,"73,996","3,457"
100,Lithuania,"1,694",,71,,"1,302",,321,17,622,26,"326,294","119,763"
101,Slovakia,"1,526",,28,,"1,379",,119,,280,5,"185,596","33,995"
102,New Zealand,"1,504",,22,,"1,481",,1,,301,4,"291,194","58,214"
103,Mali,"1,485",,87,,816,,582,,74,4,"3,483",172
104,Slovenia,"1,479",,109,,"1,359",,11,,711,52,"83,529","40,179"
105,CAR,"1,451",,4,,29,,"1,418",,301,0.8,"15,881","3,292"
106,Guinea-Bissau,"1,368",,12,,153,,"1,203",,696,6,"1,500",764
107,Lebanon,"1,312",,28,,768,,516,6,192,4,"92,175","13,501"
108,Equatorial Guinea,"1,306",,12,,200,,"1,094",,933,9,"8,268","5,909"
109,Costa Rica,"1,228",,10,,695,,523,4,241,2,"28,753","5,648"
110,Albania,"1,212",,33,,910,,269,5,421,11,"15,810","5,493"
111,Nicaragua,"1,118",,46,,370,,702,,169,7,,
112,Hong Kong,"1,103",,4,,"1,045",,54,2,147,0.5,"202,930","27,084"
113,Zambia,"1,089",,7,,912,,170,1,59,0.4,"28,236","1,539"
114,Tunisia,"1,087",,49,,969,,69,1,92,4,"54,150","4,585"
115,Paraguay,"1,087",,11,,516,,560,2,153,2,"35,258","4,948"
116,Latvia,"1,086",1,25,,781,,280,3,575,13,"116,535","61,742"
117,South Sudan,994,,10,,6,,978,,89,0.9,"3,356",300
118,Madagascar,975,,7,,201,,767,9,35,0.3,"12,907",467
119,Niger,966,,65,,863,,38,,40,3,"6,119",254
120,Cyprus,960,,17,,807,,136,4,796,14,"125,312","103,842"
121,Sierra Leone,929,,47,,580,,302,,117,6,,
122,Burkina Faso,888,,53,,760,,75,,43,3,,
123,Mauritania,883,,43,,69,,771,,190,9,"7,654","1,650"
124,Andorra,852,,51,,741,,60,7,"11,028",660,"3,750","48,539"
125,Chad,836,,68,,657,,111,,51,4,,
126,Uruguay,834,,23,,721,,90,4,240,7,"47,433","13,658"
127,Georgia,808,3,13,,663,13,132,6,203,3,"61,395","15,389"
128,Jordan,784,,9,,571,,204,5,77,0.9,"213,815","20,970"
129,Diamond Princess,712,,13,,651,,48,4,,,,
130,San Marino,680,,42,,428,,210,1,"20,044","1,238","4,749","139,981"
131,Congo,635,,20,,182,,433,,115,4,,
132,Malta,625,,9,,583,,33,,"1,416",20,"72,992","165,340"
133,Jamaica,595,4,10,,385,17,200,2,201,3,"13,993","4,727"
134,French Guiana,589,,1,,321,,267,3,"1,976",3,,
135,Channel Islands,561,,46,,512,,3,,"3,229",265,"10,255","59,021"
136,Uganda,557,, ,,82,,475,,12,,"99,092","2,172"
137,Cabo Verde,536,,5,,239,,292,,965,9,"1,307","2,353"
138,Tanzania,509,,21,,183,,305,7,9,0.4,,
139,Sao Tome and Principe,499,,12,,68,,419,,"2,280",55,175,800
140,Togo,485,,13,,240,,232,,59,2,"21,812","2,640"
141,Réunion,480,,1,,411,,68,1,536,1,"17,200","19,221"
142,Yemen,469,,111,,23,,335,,16,4,120,4
143,Palestine,464,,3,,377,,84,,91,0.6,"44,876","8,813"
144,Taiwan,443,,7,,429,,7,,19,0.3,"73,040","3,067"
145,Rwanda,420,,2,,282,,136,,32,0.2,"72,510","5,609"
146,Malawi,409,,4,,55,,350,3,21,0.2,"6,172",323
147,Mozambique,354,,2,,119,,233,,11,0.06,"12,343",396
148,Mauritius,337,,10,,324,,3,,265,8,"129,768","102,049"
149,Isle of Man,336,,24,,312,,0,,"3,953",282,"5,123","60,269"
150,Liberia,334,,30,,176,,128,,66,6,,
151,Vietnam,329,1, ,,307,,22,1,3,,"275,000","2,827"
152,Montenegro,324,,9,,315,,0,,516,14,"13,186","20,995"
153,Eswatini,305,,3,,221,,81,5,263,3,"6,551","5,651"
154,Zimbabwe,265,,4,,33,,228,,18,0.3,"52,218","3,517"
155,Benin,261,,3,,151,,107,,22,0.2,"40,900","3,381"
156,Libya,239,,5,,52,,182,,35,0.7,"8,840","1,288"
157,Myanmar,236,,6,,151,,79,,4,0.1,"33,587",618
158,Martinique,202,,14,,98,,90,,538,37,,
159,Mongolia,193,2, ,,71,1,122,14,59,,"16,062","4,905"
160,Faeroe Islands,187,, ,,187,,0,,"3,828",,"10,134","207,447"
161,Gibraltar,174,, ,,153,,21,,"5,164",,"8,733","259,201"
162,Guadeloupe,164,,14,,144,,6,1,410,35,"4,975","12,434"
163,Cayman Islands,164,,1,,93,,70,,"2,497",15,"13,947","212,390"
164,Guyana,153,,12,,77,,64,3,195,15,"1,719","2,186"
165,Bermuda,141,,9,,114,,18,2,"2,263",144,"7,891","126,676"
166,Brunei ,141,,2,,138,,1,1,323,5,"20,619","47,163"
167,Comoros,132,,2,,55,,75,,152,2,,
168,Cambodia,125,, ,,123,,2,1,7,,"23,156","1,386"
169,Syria,124,,6,,53,,65,,7,0.3,,
170,Trinidad and Tobago,117,,8,,108,,1,,84,6,"3,325","2,376"
171,Bahamas,102,,11,,55,,36,2,260,28,"2,156","5,486"
172,Aruba,101,,3,,98,,0,,946,28,"2,168","20,312"
173,Monaco,99,,4,,93,,2,1,"2,524",102,"16,200","413,023"
174,Barbados,92,,7,,81,,4,1,320,24,"5,812","20,226"
175,Suriname,91,1,1,,9,,81,,155,2,782,"1,334"
176,Angola,86,,4,,21,,61,1,3,0.1,"10,000",305
177,Liechtenstein,82,,1,,55,,26,,"2,151",26,900,"23,609"
178,Sint Maarten,77,,15,,61,,1,1,"1,797",350,470,"10,971"
179,Burundi,63,,1,,33,,29,,5,0.08,284,24
180,French Polynesia,60,, ,,60,,0,,214,,"4,040","14,388"
181,Bhutan,48,, ,,11,,37,,62,,"19,004","24,648"
182,Macao,45,, ,,45,,0,,69,,,
183,Saint Martin,41,,3,,33,,5,1,"1,062",78,614,"15,900"
184,Botswana,40,,1,,23,,16,,17,0.4,"24,006","10,224"
185,Eritrea,39,, ,,39,,0,,11,,,
186,Antigua and Barbuda,26,,3,,20,,3,1,266,31,246,"2,513"
187,Gambia,26,,1,,21,,4,,11,0.4,"1,907",791
188,St. Vincent Grenadines,26,, ,,15,,11,,234,,600,"5,409"
189,Namibia,25,, ,,16,,9,,10,,"4,395","1,732"
190,Timor-Leste,24,, ,,24,,0,,18,,"1,568","1,191"
191,Grenada,23,, ,,22,,1,2,204,,"3,516","31,257"
192,Curaçao,21,,1,,15,,5,,128,6,985,"6,004"
193,New Caledonia,20,, ,,18,,2,,70,,"7,055","24,728"
194,Belize,19,,2,,16,,1,,48,5,"1,741","4,384"
195,Laos,19,, ,,18,,1,,3,,"7,824","1,077"
196,Saint Lucia,19,, ,,18,,1,,104,,"1,204","6,559"
197,Dominica,18,, ,,16,,2,,250,,534,"7,419"
198,Fiji,18,, ,,18,,0,,20,,"2,431","2,713"
199,Saint Kitts and Nevis,15,, ,,15,,0,,282,,403,"7,579"
200,Falkland Islands,13,, ,,13,,0,,"3,744",,535,"154,090"
201,Greenland,13,, ,,13,,0,,229,,"2,288","40,308"
202,Turks and Caicos,12,,1,,11,,0,,310,26,153,"3,956"
203,Vatican City,12,, ,,2,,10,,"14,981",,,
204,Montserrat,11,,1,,10,,0,,"2,204",200,61,"12,220"
205,Seychelles,11,, ,,11,,0,,112,,,
206,MS Zaandam,9,,2,,,,7,,,,,
207,Western Sahara,9,,1,,6,,2,,15,2,,
208,British Virgin Islands,8,,1,,7,,0,,265,33,167,"5,527"
209,Papua New Guinea,8,, ,,8,,0,,0.9,,"4,646",520
210,Caribbean Netherlands,7,, ,,7,,0,,267,,424,"16,180"
211,St. Barth,6,, ,,6,,0,,608,,137,"13,873"
212,Lesotho,4,, ,,2,,2,,2,,"1,515",708
213,Anguilla,3,, ,,3,,0,,200,,41,"2,734"
214,Saint Pierre Miquelon,1,, ,,1,,0,,173,,,
215,China,"83,030",3,"4,634",,"78,329",2,67,2,58,3,,
