#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
,North America,"2,229,176","5,160","133,972",692,"898,723","3,345","1,196,481","19,520",,,,
,South America,"1,072,792",484,"47,463",12,"520,953","13,513","504,376","11,756",,,,
,Europe,"2,062,733",612,"177,978",19,"1,057,051","1,243","827,704","7,321",,,,
,Asia,"1,299,214","7,091","33,792",117,"786,754","2,565","478,668","14,574",,,,
,Africa,"179,337",,"4,942",,"80,324",,"94,071",443,,,,
,Oceania,"8,865",4,124,,"8,275",7,466,2,,,,
,World,"6,852,838","13,351","398,286",840,"3,352,731","20,673","3,101,821","53,620",879,51.1,,
1,USA,"1,965,912",204,"111,394",4,"738,729",83,"1,115,789","17,121","5,942",337,"20,270,325","61,264"
2,Brazil,"646,006",,"35,047",,"302,084","13,432","308,875","8,318","3,041",165,"999,836","4,706"
3,Russia,"449,834",,"5,528",,"212,680",,"231,626","2,300","3,083",38,"12,388,968","84,896"
4,Spain,"288,058",,"27,134",,N/A,N/A,N/A,617,"6,161",580,"4,063,843","86,920"
5,UK,"283,311",,"40,261",,N/A,N/A,N/A,604,"4,175",593,"5,214,277","76,837"
6,India,"236,954",770,"6,649",,"114,073",840,"116,232","8,944",172,5,"4,524,317","3,281"
7,Italy,"234,531",,"33,774",,"163,781",,"36,976",316,"3,879",559,"4,114,572","68,046"
8,Peru,"187,400",,"5,162",,"79,214",,"103,024","1,041","5,689",157,"1,154,468","35,049"
9,Germany,"185,414",,"8,763",,"168,900",400,"7,751",595,"2,213",105,"4,348,880","51,917"
10,Turkey,"168,340",,"4,648",,"133,400",,"30,292",592,"1,998",55,"2,267,412","26,905"
11,Iran,"167,156",,"8,134",,"129,741",,"29,281","2,573","1,992",97,"1,040,289","12,397"
12,France,"153,055",,"29,111",,"70,504",,"53,440","1,094","2,345",446,"1,384,633","21,216"
13,Chile,"122,499",,"1,448",,"95,631",,"25,420","1,521","6,412",76,"668,556","34,994"
14,Mexico,"110,026","4,346","13,170",625,"78,590","3,142","18,266",378,854,102,"324,897","2,522"
15,Saudi Arabia,"95,748",,642,,"70,616",,"24,490","1,321","2,753",18,"908,972","26,139"
16,Canada,"94,335",,"7,703",,"52,568",,"34,064","1,738","2,501",204,"1,830,498","48,530"
17,Pakistan,"93,983","4,734","1,935",97,"32,581","1,383","59,467",111,426,9,"660,508","2,995"
18,Qatar,"65,495",,49,,"40,935",,"24,511",238,"23,326",17,"246,362","87,742"
19,Bangladesh,"60,391",,811,,"12,804",,"46,776",1,367,5,"372,365","2,263"
20,Belgium,"58,907",,"9,566",,"16,112",,"33,229",137,"5,084",826,"912,165","78,728"
21,Netherlands,"47,152",,"6,005",,N/A,N/A,N/A,97,"2,752",351,"388,113","22,654"
22,Belarus,"46,868",,259,,"22,066",,"24,543",92,"4,960",27,"597,013","63,179"
23,South Africa,"43,434",,908,,"23,088",,"19,438",208,733,15,"850,871","14,360"
24,Sweden,"42,939",,"4,639",,N/A,N/A,N/A,265,"4,254",460,"275,500","27,291"
25,Ecuador,"41,575",,"3,534",,"20,568",,"17,473",252,"2,359",201,"120,845","6,857"
26,UAE,"37,642",,274,,"20,337",,"17,031",1,"3,809",28,"2,145,493","217,115"
27,Singapore,"37,183",,24,,"24,209",,"12,950",4,"6,359",4,"408,495","69,862"
28,Colombia,"36,635",,"1,145",,"13,638",,"21,852",335,721,23,"386,938","7,610"
29,Portugal,"33,969",,"1,465",,"20,526",,"11,978",58,"3,331",144,"873,998","85,698"
30,Egypt,"31,115",,"1,166",,"8,158",,"21,791",41,304,11,"135,000","1,321"
31,Switzerland,"30,936",,"1,921",,"28,600",,415,29,"3,576",222,"415,915","48,081"
32,Kuwait,"30,644",,244,,"18,277",,"12,123",197,"7,183",57,"308,900","72,411"
33,Indonesia,"29,521",,"1,770",,"9,443",,"18,308",,108,6,"380,973","1,394"
34,Ukraine,"26,514",550,777,15,"11,812",440,"13,925",301,606,18,"414,542","9,475"
35,Poland,"25,410",,"1,137",,"12,641",231,"11,632",160,671,30,"1,014,937","26,815"
36,Ireland,"25,163",,"1,670",,"22,698",,795,36,"5,100",338,"348,416","70,617"
37,Argentina,"21,037",,632,,"6,088",,"14,317",274,466,14,"183,862","4,071"
38,Philippines,"20,626",,987,,"4,330",,"15,309",82,188,9,"408,945","3,735"
39,Romania,"20,103",,"1,316",,"14,145",,"4,642",152,"1,045",68,"484,782","25,189"
40,Afghanistan,"19,551",582,320,11,"1,820",58,"17,411",19,503,8,"45,900","1,181"
41,Dominican Republic,"18,708",,525,,"11,736",,"6,447",110,"1,726",48,"90,141","8,315"
42,Israel,"17,706",144,292,1,"15,042",16,"2,372",29,"1,925",32,"637,863","69,351"
43,Japan,"17,064",,907,,"14,972",,"1,185",98,135,7,"307,462","2,431"
44,Austria,"16,843",,672,,"15,742",,429,20,"1,871",75,"479,449","53,255"
45,Panama,"15,463",,370,,"9,719",,"5,374",77,"3,588",86,"72,697","16,868"
46,Oman,"15,086",,72,,"3,451",,"11,563",60,"2,960",14,"102,644","20,141"
